model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,mean_sparsity,std_sparsity,ranking_score,search_time_seconds,shap_time_seconds,model_total_time_seconds,full_automl_search_time_seconds
dt,0.5207692307692308,0.5000830430661187,0.7321774568983329,0.9910043587279642,0.021268068240739225,0.9952246364712966,0.010190309148504191,0.8626459772489816,0.5599346999661066,62.884824899956584,63.44475959992269,152.19378869998036
rf,0.6069230769230769,0.603773229362481,0.8449127238549635,0.9905609266410813,0.005850843172209342,0.7569101536390963,0.04608252859631877,0.8593241319975262,10.319676799990702,2522.649052200024,2532.9687290000147,152.19378869998036
lgb,0.6915384615384615,0.6804617650166268,0.8658181746775281,0.9600170135498876,0.017060292673104837,0.7269809364219952,0.054545711291673106,0.8546585748317348,90.7663814999978,1169.539670899976,1260.3060523999739,152.19378869998036
logreg,0.5346153846153846,0.5063778072895734,0.7851678397091856,0.9911030100889329,0.004290695812788423,0.7923655482535259,0.05382188492117786,0.8384510594402075,50.54551929997979,89.81481899996288,140.36033829994267,152.19378869998036
