mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__penalty,param_model__solver,param_model__l1_ratio,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.7230504353841146,0.17248093816173138,0.021758238474527996,0.008906551199612863,6.015308718396457,,l1,saga,,"{'model__C': np.float64(6.015308718396457), 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'saga'}",0.9473684210526315,0.9671052631578947,0.9735099337748344,0.9626612059951202,0.011125253701999465,9,0.9473684210526315,0.9671612606395215,0.9735099337748344,0.9626798718223291,0.011132738691188141,9,0.9942751615881811,0.9974145891043398,0.9881578947368421,0.9932825484764543,0.003843657827772446,6
0.043921709060668945,0.010205778203868292,0.016809463500976562,0.0006122917144718402,0.3811544088653064,balanced,l2,lbfgs,,"{'model__C': np.float64(0.3811544088653064), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.9605263157894737,0.993421052631579,0.9735099337748344,0.9758191007319623,0.01352812174705611,1,0.9605263157894737,0.9934091646203029,0.9735099337748344,0.9758151380615371,0.013522965944652977,1,0.9959372114496768,0.9992613111726685,0.9892857142857143,0.9948280789693532,0.00414734971252196,3
0.02765345573425293,0.0012226573846568429,0.017558892567952473,0.0009157080094023267,0.00039796923010559904,,l2,saga,,"{'model__C': np.float64(0.00039796923010559904), 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'saga'}",0.75,0.7697368421052632,0.7814569536423841,0.7670645985825492,0.012980514812551186,18,0.7083333333333334,0.7366385372714488,0.7519821124012139,0.7323179943353321,0.018079533492806783,18,0.9940904893813481,0.978393351800554,0.974624060150376,0.9823693004440927,0.008429772336315106,16
0.04199425379435221,0.014069386045006608,0.022429545720418293,0.0005923149714523425,0.4042872735027334,balanced,l2,lbfgs,,"{'model__C': np.float64(0.4042872735027334), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.9605263157894737,0.993421052631579,0.9735099337748344,0.9758191007319623,0.01352812174705611,1,0.9605263157894737,0.9934091646203029,0.9735099337748344,0.9758151380615371,0.013522965944652977,1,0.9959372114496768,0.9992613111726685,0.9892857142857143,0.9948280789693532,0.00414734971252196,3
0.035140434900919594,0.012973509480372337,0.025042613347371418,0.0058174973665918025,0.00013289448722869195,balanced,l2,saga,,"{'model__C': np.float64(0.00013289448722869195), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}",0.9605263157894737,0.8947368421052632,0.9403973509933775,0.9318868362960381,0.02752435717955497,14,0.9603794642857142,0.8934240362811791,0.9400403640762869,0.9312812882143934,0.02802734845686056,14,0.9931671283471837,0.9767313019390582,0.9723684210526315,0.9807556171129578,0.008955180651268215,19
0.020850340525309246,0.0008581972125710243,0.019800504048665363,0.007086290239260248,0.0018794668241638478,balanced,elasticnet,saga,0.1,"{'model__C': np.float64(0.0018794668241638478), 'model__class_weight': 'balanced', 'model__l1_ratio': 0.1, 'model__penalty': 'elasticnet', 'model__solver': 'saga'}",0.9539473684210527,0.9210526315789473,0.9470198675496688,0.9406732891832229,0.014159218921464073,13,0.953259167892215,0.9200680272108844,0.9465849409182515,0.939970712007117,0.014334665976776602,13,0.9937211449676823,0.9796860572483841,0.9736842105263158,0.9823638042474608,0.008396325870887504,17
0.020370006561279297,0.007930770860419269,0.01989436149597168,0.0022567177583370144,0.006690421166498805,balanced,l2,lbfgs,,"{'model__C': np.float64(0.006690421166498805), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.9671052631578947,0.9210526315789473,0.9602649006622517,0.9494742651330311,0.02029022063589453,12,0.967045823101515,0.9200680272108844,0.960110626128838,0.9490748254804124,0.020705393800477506,12,0.9961218836565098,0.9896583564173591,0.9836466165413534,0.989808952205074,0.005094119597934036,12
0.018431345621744793,0.0038199603228967574,0.01680103937784831,0.0019591132883242397,0.039054412752107935,,l2,lbfgs,,"{'model__C': np.float64(0.039054412752107935), 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.9539473684210527,0.9605263157894737,0.9801324503311258,0.964868711513884,0.011122257838222226,6,0.9534815337567631,0.960034013605442,0.9800134546920958,0.9645096673514336,0.011284482397528387,7,0.9963065558633426,0.995752539242844,0.9860902255639097,0.9927164402233655,0.004690897152204248,8
0.07816775639851888,0.013315470713429853,0.021043856938680012,0.006072718987932079,0.4689400963537689,balanced,l2,saga,,"{'model__C': np.float64(0.4689400963537689), 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'saga'}",0.9605263157894737,0.993421052631579,0.9735099337748344,0.9758191007319623,0.01352812174705611,1,0.9605263157894737,0.9934091646203029,0.9735099337748344,0.9758151380615371,0.013522965944652977,1,0.9961218836565097,0.9992613111726685,0.9892857142857143,0.9948896363716307,0.004164689531531396,2
0.026448885599772137,0.0020326333729699447,0.01914326349894206,0.0004425674090340737,0.054502936945582565,,l2,saga,,"{'model__C': np.float64(0.054502936945582565), 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'saga'}",0.9539473684210527,0.9605263157894737,0.9801324503311258,0.964868711513884,0.011122257838222226,6,0.9534815337567631,0.960034013605442,0.9800134546920958,0.9645096673514336,0.011284482397528387,7,0.9966759002770083,0.9964912280701754,0.9866541353383459,0.9932737545618432,0.004681384763369727,7
