model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,mean_sparsity,std_sparsity,ranking_score,search_time_seconds,shap_time_seconds,model_total_time_seconds,full_automl_search_time_seconds
dt,0.9385964912280702,0.9384383268099622,0.9603174603174602,0.9942423942560846,0.02075862824184692,0.9999999999975769,6.206079504354838e-13,0.9787193287221455,0.46179460000712425,52.58179430000018,53.04358890000731,21.60301530000288
lgb,0.9649122807017544,0.9645092460881936,0.9953703703703705,0.897316227711164,0.037112344671076644,0.661261030339232,0.07708531815421467,0.8873294996977843,6.82416540000122,178.88402190001216,185.70818730001338,21.60301530000288
rf,0.9736842105263158,0.9734654095556351,0.9970238095238095,0.9934095540259539,0.006367770206651271,0.5397948822335494,0.05106251115043541,0.8818130138267806,5.1962059999932535,471.67932320002,476.87552920001326,21.60301530000288
logreg,0.9649122807017544,0.9647247085304307,0.9966931216931216,0.9801151949400987,0.012577494521210972,0.532681541688258,0.07010794523334718,0.87654574500365,9.11433329997817,51.901334499998484,61.015667799976654,21.60301530000288
