model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,mean_sparsity,std_sparsity,ranking_score,search_time_seconds,shap_time_seconds,model_total_time_seconds,full_automl_search_time_seconds
rf,0.7906976744186046,0.7841400005173707,0.9655651340996169,0.9976931482033918,0.002795080745112039,0.8337893088083774,0.0419482184637259,0.9406531813027508,1.1400028597563505e-05,826.3545785000315,826.3545899000601,30.661455900000874
lgb,0.6511627906976745,0.6438824741150323,0.9463669950738917,0.9889071646958524,0.0170958457916405,0.8226376855204217,0.042884763065675416,0.9260697100910144,1.1299969628453255e-05,144.41085909999674,144.41087039996637,30.661455900000874
dt,0.7441860465116279,0.7272553028366981,0.8619744451588439,0.9913943675972485,0.022390057652803424,0.9156847317088056,0.05201132212947165,0.9077569974059354,1.009996049106121e-05,14.066185100004077,14.066195199964568,30.661455900000874
logreg,0.627906976744186,0.642661214754238,0.8950634597711974,0.9854898229388677,0.007546006964413535,0.8165844378648661,0.041483995197808,0.8980502950865321,1.4499993994832039e-05,20.627872700046282,20.627887200040277,30.661455900000874
