mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__num_leaves,param_model__subsample,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
1.8089520931243896,0.1077679695612317,0.019698381423950195,0.0004720472722657892,,0.9389628960580698,0.002327392228062871,12,288,51,0.7468055921327309,"{'model__class_weight': None, 'model__colsample_bytree': np.float64(0.9389628960580698), 'model__learning_rate': np.float64(0.002327392228062871), 'model__max_depth': 12, 'model__n_estimators': 288, 'model__num_leaves': 51, 'model__subsample': np.float64(0.7468055921327309)}",0.9210526315789473,0.9013157894736842,0.9337748344370861,0.9187144184965725,0.013354096257902246,19,0.9192307692307692,0.8998410740547463,0.9335177102147302,0.9175298511667486,0.013800937104857929,19,0.9773776546629732,0.9831024930747922,0.9796052631578948,0.9800284702985534,0.0023562359705383245,13
1.2027277151743572,0.011512465348910804,0.019702434539794922,0.0004744052862998816,,0.7299924747454009,0.008288916866885139,9,199,38,0.9124217733388136,"{'model__class_weight': None, 'model__colsample_bytree': np.float64(0.7299924747454009), 'model__learning_rate': np.float64(0.008288916866885139), 'model__max_depth': 9, 'model__n_estimators': 199, 'model__num_leaves': 38, 'model__subsample': np.float64(0.9124217733388136)}",0.9407894736842105,0.9210526315789473,0.9403973509933775,0.9340798187521785,0.00921300328470452,13,0.9399046444328478,0.9200680272108844,0.9406966807349593,0.9335564507928972,0.009543235245338753,16,0.9907663896583564,0.9867036011080332,0.9802631578947368,0.9859110495537088,0.004324393818388363,12
3.209958871205648,0.433313644709329,0.02031850814819336,0.00040106951672687547,balanced,0.71692347370813,0.027796975515266834,10,485,58,0.7550213529560301,"{'model__class_weight': 'balanced', 'model__colsample_bytree': np.float64(0.71692347370813), 'model__learning_rate': np.float64(0.027796975515266834), 'model__max_depth': 10, 'model__n_estimators': 485, 'model__num_leaves': 58, 'model__subsample': np.float64(0.7550213529560301)}",0.9671052631578947,0.9342105263157895,0.9668874172185431,0.9560677355640758,0.015455636756123447,6,0.9669163982635485,0.9339657738095238,0.9669463336462105,0.9559428352397609,0.015540133973319865,4,0.9974145891043398,0.9915050784856879,0.9838345864661655,0.9909180846853977,0.005559528709305575,4
0.9319597880045573,0.09767663761777692,0.0196994145711263,0.0004726073027757551,balanced,0.8834959481464842,0.001033076804324041,13,148,57,0.8835558684167137,"{'model__class_weight': 'balanced', 'model__colsample_bytree': np.float64(0.8834959481464842), 'model__learning_rate': np.float64(0.001033076804324041), 'model__max_depth': 13, 'model__n_estimators': 148, 'model__num_leaves': 57, 'model__subsample': np.float64(0.8835558684167137)}",0.9539473684210527,0.9144736842105263,0.9205298013245033,0.9296502846520275,0.01735761789309087,18,0.9540257648953302,0.9136085626911316,0.9214322101739321,0.9296888459201312,0.017502696628192864,18,0.9758079409048938,0.9775623268698062,0.9702067669172934,0.9745256782306644,0.0031367938757106604,19
1.178003152211507,0.019225646516501497,0.023793935775756836,0.00390094372170309,balanced,0.7139996989640846,0.08861577452533075,7,463,53,0.9949692657420364,"{'model__class_weight': 'balanced', 'model__colsample_bytree': np.float64(0.7139996989640846), 'model__learning_rate': np.float64(0.08861577452533075), 'model__max_depth': 7, 'model__n_estimators': 463, 'model__num_leaves': 53, 'model__subsample': np.float64(0.9949692657420364)}",0.9736842105263158,0.9407894736842105,0.9801324503311258,0.964868711513884,0.01722889472153433,1,0.9735863095238094,0.9406824815827272,0.980094966156476,0.9647879190876708,0.01725098530073085,1,0.9974145891043398,0.9918744228993537,0.9860902255639097,0.991793079189201,0.004623509849911403,1
2.636403799057007,0.19881819573320111,0.024619261423746746,0.004001085066015715,,0.7139351238159992,0.016409286730647923,9,428,37,0.7039794883479599,"{'model__class_weight': None, 'model__colsample_bytree': np.float64(0.7139351238159992), 'model__learning_rate': np.float64(0.016409286730647923), 'model__max_depth': 9, 'model__n_estimators': 428, 'model__num_leaves': 37, 'model__subsample': np.float64(0.7039794883479599)}",0.9605263157894737,0.9276315789473685,0.9735099337748344,0.9538892761705587,0.019308781794751675,8,0.9602155576382381,0.9272160761798067,0.9735099337748344,0.9536471891976265,0.019461721587702926,11,0.9968605724838412,0.9915050784856878,0.9834586466165414,0.9906080991953568,0.005507953832027044,8
2.293894052505493,0.1222303771485322,0.019245386123657227,0.0006183959652581103,,0.9896896099223678,0.041380401125610165,13,445,51,0.7692681476866446,"{'model__class_weight': None, 'model__colsample_bytree': np.float64(0.9896896099223678), 'model__learning_rate': np.float64(0.041380401125610165), 'model__max_depth': 13, 'model__n_estimators': 445, 'model__num_leaves': 51, 'model__subsample': np.float64(0.7692681476866446)}",0.9671052631578947,0.9276315789473685,0.9668874172185431,0.9538747531079355,0.01855693952370576,9,0.9669163982635485,0.9272160761798067,0.9668249435941263,0.9536524726791605,0.018693392520574805,10,0.997229916897507,0.991320406278855,0.9849624060150376,0.9911709097304665,0.005009305855196644,3
0.6870330174763998,0.012727119273459746,0.019047896067301433,0.0003841986664552923,balanced,0.8320457481218804,0.0017541893487450805,12,134,44,0.8173181822719722,"{'model__class_weight': 'balanced', 'model__colsample_bytree': np.float64(0.8320457481218804), 'model__learning_rate': np.float64(0.0017541893487450805), 'model__max_depth': 12, 'model__n_estimators': 134, 'model__num_leaves': 44, 'model__subsample': np.float64(0.8173181822719722)}",0.9539473684210527,0.9144736842105263,0.9337748344370861,0.934065295689555,0.016116372877552777,14,0.9540257648953302,0.9136085626911316,0.9342045490820067,0.9339462922228229,0.016501264213341485,13,0.9813481071098799,0.9790397045244691,0.9693609022556391,0.976582904629996,0.005192954800849289,17
0.7548787593841553,0.008167375718804906,0.019327640533447266,0.00021051410979085937,balanced,0.8987566853061946,0.004201672054372531,10,153,40,0.8703100983459974,"{'model__class_weight': 'balanced', 'model__colsample_bytree': np.float64(0.8987566853061946), 'model__learning_rate': np.float64(0.004201672054372531), 'model__max_depth': 10, 'model__n_estimators': 153, 'model__num_leaves': 40, 'model__subsample': np.float64(0.8703100983459974)}",0.9539473684210527,0.9210526315789473,0.9205298013245033,0.9318432671081678,0.015631417274332475,17,0.9540257648953302,0.9204311152764761,0.9212545203433754,0.9319038001717272,0.015646202764042542,17,0.9759926131117267,0.9810710987996307,0.9720864661654134,0.976383392692257,0.0036783544693590312,18
1.4892430305480957,0.03624852926392418,0.02101723353068034,0.0021844757350431743,,0.9908753883293675,0.035503048581283086,6,301,34,0.8793699936433255,"{'model__class_weight': None, 'model__colsample_bytree': np.float64(0.9908753883293675), 'model__learning_rate': np.float64(0.035503048581283086), 'model__max_depth': 6, 'model__n_estimators': 301, 'model__num_leaves': 34, 'model__subsample': np.float64(0.8793699936433255)}",0.9671052631578947,0.9342105263157895,0.9602649006622517,0.953860230045312,0.014172291799175283,10,0.9667725241119737,0.9339657738095238,0.9602649006622517,0.9536677328612497,0.01418244651197989,9,0.9970452446906741,0.9924284395198523,0.9832706766917293,0.9909147869674185,0.005724394519743584,5
