model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,mean_sparsity,std_sparsity,ranking_score,search_time_seconds,shap_time_seconds,model_total_time_seconds,full_automl_search_time_seconds
dt,0.7920511000709723,0.7783345799880014,0.8307512464801468,0.9965568299014126,0.004928446934416081,0.9322140633384214,0.036265905818352304,0.8975683465500319,9.499985026195645e-06,78.73338439999497,78.73339389998,45.79903629998444
lgb,0.751596877217885,0.7643943582531727,0.8425004520912449,0.995519383416985,0.0031843250247780876,0.6923569073254928,0.057745192257849826,0.8432192987312419,1.2899981811642647e-05,230.79338519999874,230.79339809998055,45.79903629998444
logreg,0.794889992902768,0.7898519301486634,0.8382856699992249,0.9970884835604799,0.002232722248534886,0.6509919355407568,0.03863094673444812,0.8311629397749216,1.4899997040629387e-05,78.02737049999996,78.027385399997,45.79903629998444
rf,0.7991483321504613,0.7899809636650835,0.8389224728099408,0.9978541848379424,0.0012579332135444882,0.5447126701463997,0.049804001161172465,0.8051029501510559,9.69998654909432e-06,1362.333100799995,1362.3331104999816,45.79903629998444
