model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,mean_sparsity,std_sparsity,ranking_score,search_time_seconds,shap_time_seconds,model_total_time_seconds,full_automl_search_time_seconds
dt,0.5207692307692308,0.5000830430661187,0.7321774568983329,0.9909433551066745,0.021266257657937833,0.9953338506495913,0.009952227280742644,0.8626580298882329,1.1199997970834374e-05,63.26978059997782,63.26979179997579,157.73172310000518
rf,0.6069230769230769,0.603773229362481,0.8449127238549635,0.9906476676685552,0.00561565165131944,0.7575010608473747,0.04582380033380329,0.8594935440564642,9.899988071992993e-06,2637.9918635000067,2637.991873399995,157.73172310000518
lgb,0.6915384615384615,0.6804617650166268,0.8658181746775281,0.9596326849410366,0.017212323616971715,0.7292913619233551,0.053981137498717593,0.8551400990548619,1.2300006346777081e-05,1200.8886643999722,1200.8886766999785,157.73172310000518
logreg,0.5346153846153846,0.5063778072895734,0.7851678397091856,0.9913840300235485,0.0038714927582817033,0.7929649817064072,0.05455061797084306,0.8386711727870817,1.3499986380338669e-05,91.59007320000092,91.5900866999873,157.73172310000518
