model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,mean_sparsity,std_sparsity,ranking_score,search_time_seconds,shap_time_seconds,model_total_time_seconds,full_automl_search_time_seconds
dt,0.66,0.6667806267806268,0.6639285714285715,0.9778272327962803,0.029524628795001118,0.9388364850568768,0.032933687990110413,0.811130215177575,0.5912529000197537,79.45815899997251,80.04941189999226,24.85331109998515
lgb,0.75,0.7310447357751048,0.7620238095238095,0.9918855257615903,0.005744170176211648,0.5970991344771993,0.058480141338318394,0.7782580698216022,8.48021740000695,133.44534889998613,141.92556629999308,24.85331109998515
rf,0.765,0.7665932904816413,0.8038095238095238,0.9974784303689294,0.0013580859000614923,0.501363047815319,0.04722344021821476,0.776615131450824,6.936058999970555,751.2963073999854,758.2323663999559,24.85331109998515
logreg,0.775,0.7568643462284373,0.8083333333333333,0.9995801678778834,0.000579520772420531,0.425012138243916,0.050230996774013915,0.7603147431971164,8.844467999995686,81.5785738999839,90.42304189997958,24.85331109998515
