model,mean_stability,std_stability
rf,0.9978066152880548,0.0013244791819646963
logreg,0.9971391277909666,0.00219935305999056
lgb,0.9956046009093158,0.0031308907330402495
dt,0.996408866586664,0.005040145403451505
