model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,ranking_score,search_time_seconds,shap_time_seconds,model_total_time_seconds,full_automl_search_time_seconds
rf,0.6069230769230769,0.603773229362481,0.8449127238549635,0.9906815072960652,0.005793726201382197,0.9177971155755144,1.3500015484169126e-05,2516.5676650000096,2516.567678500025,156.73081989999628
lgb,0.6915384615384615,0.6804617650166268,0.8658181746775281,0.9603244075391149,0.016537867606373328,0.9130712911083214,1.7400016076862812e-05,1168.675799299992,1168.675816700008,156.73081989999628
logreg,0.5346153846153846,0.5063778072895734,0.7851678397091856,0.9914662168652895,0.003685518840071476,0.8883170282872375,1.6700010746717453e-05,90.9877673999872,90.98778409999795,156.73081989999628
dt,0.5207692307692308,0.5000830430661187,0.7321774568983329,0.9910147263125018,0.021275646511069776,0.8615960916054173,1.3600016245618463e-05,60.94617169999401,60.94618530001026,156.73081989999628
