model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,mean_sparsity,std_sparsity,ranking_score,search_time_seconds,shap_time_seconds,model_total_time_seconds,full_automl_search_time_seconds
rf,0.7906976744186046,0.7841400005173707,0.9655651340996169,0.9977474810798905,0.002781811074016494,0.8336863150827075,0.04218450173630221,0.9406410160904579,4.909062199993059,815.0941920999903,820.0032542999834,28.375079899968114
lgb,0.6511627906976745,0.6438824741150323,0.9463669950738917,0.9888274126111938,0.01710550688900908,0.8234119628022012,0.04266673913608087,0.9262433413902946,14.177968000003602,120.74345380003797,134.92142180004157,28.375079899968114
dt,0.7441860465116279,0.7272553028366981,0.8619744451588439,0.9913151592483516,0.022470709415433613,0.913390313333271,0.05252318478590049,0.9071635907248277,0.47687980002956465,13.680405299994163,14.157285100023728,28.375079899968114
logreg,0.627906976744186,0.642661214754238,0.8950634597711974,0.9857072915265293,0.006599756902533415,0.8128889041393279,0.046848223699085444,0.8971807788020629,8.809187099977862,19.436838700028602,28.246025800006464,28.375079899968114
