model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,mean_sparsity,std_sparsity,ranking_score,search_time_seconds,shap_time_seconds,model_total_time_seconds,full_automl_search_time_seconds
dt,0.66,0.6667806267806268,0.6639285714285715,0.979203232152841,0.02493249492262401,0.9383804433037923,0.03354265086863015,0.811360204578444,9.300012607127428e-06,77.19962870003656,77.19963800004916,27.555936600023415
lgb,0.75,0.7310447357751048,0.7620238095238095,0.9918989360901063,0.005065572688337599,0.5976583332839361,0.05655171197409652,0.7784012221054153,3.450002986937761e-05,145.97147400001995,145.97150850004982,27.555936600023415
rf,0.765,0.7665932904816413,0.8038095238095238,0.9975184733526278,0.0012946313781969586,0.5023245791138444,0.04598111571337276,0.77686552502138,9.600014891475439e-06,802.0716893000063,802.0716989000211,27.555936600023415
logreg,0.775,0.7568643462284373,0.8083333333333333,0.9995966059605245,0.0005396110109264435,0.4258437917760084,0.05099414090675477,0.7605267661008,1.3599987141788006e-05,76.42622700001812,76.42624060000526,27.555936600023415
