mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.6377840042114258,0.00923120540270126,0.18662428855895996,0.019965175210589405,balanced_subsample,15,12,171,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 15, 'model__min_samples_split': 12, 'model__n_estimators': 171}",0.6140350877192983,0.5789473684210527,0.7017543859649122,0.6315789473684211,0.051647724364490305,11,0.6172435593488226,0.6173135541556595,0.702172096908939,0.6455764034711403,0.04001920881774326,11,0.9019649262927415,0.9041261494653229,0.8714479550809453,0.89251301027967,0.014921352358156887,11
0.511152187983195,0.010082930758554608,0.19445403416951498,0.00695707842212024,,7,12,187,"{'model__class_weight': None, 'model__max_depth': 7, 'model__min_samples_split': 12, 'model__n_estimators': 187}",0.7017543859649122,0.7017543859649122,0.7192982456140351,0.7076023391812866,0.00827025475071988,1,0.6760008996851102,0.6527078565980167,0.6819367884081317,0.6702151815637528,0.012614502614714022,3,0.9335650208352798,0.9096222014760499,0.8779691050035482,0.9070521091049594,0.02276957758924834,1
0.7157157262166342,0.008074670677172498,0.20924830436706543,0.0029364249407340137,,4,9,251,"{'model__class_weight': None, 'model__max_depth': 4, 'model__min_samples_split': 9, 'model__n_estimators': 251}",0.7368421052631579,0.6491228070175439,0.7368421052631579,0.7076023391812866,0.041351273753599246,1,0.7069462273570104,0.6054108956602031,0.7022765246449457,0.6715445492207198,0.04680239759386686,2,0.9190541910197408,0.9096110101837865,0.8775406673671453,0.9020686228568909,0.017767176974322417,4
1.4591575463612874,0.01732536012642916,0.27654409408569336,0.004267999333450454,balanced_subsample,2,13,393,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 2, 'model__min_samples_split': 13, 'model__n_estimators': 393}",0.5789473684210527,0.543859649122807,0.5964912280701754,0.5730994152046783,0.021881037349555193,18,0.5732943469785575,0.5654379852069198,0.6187097222434043,0.5858140181429605,0.02348085910225143,18,0.8547937323164868,0.8759888638033292,0.8490758348778523,0.8599528103325561,0.011576984235047449,18
1.2614545822143555,0.061137569878306944,0.29366381963094074,0.004663278360106168,balanced,1,13,413,"{'model__class_weight': 'balanced', 'model__max_depth': 1, 'model__min_samples_split': 13, 'model__n_estimators': 413}",0.49122807017543857,0.47368421052631576,0.24561403508771928,0.4035087719298245,0.11187793257139761,20,0.3793195108984583,0.36190476190476184,0.1960735171261487,0.31243259664312295,0.08258488526018351,20,0.841618766142246,0.838216618287373,0.769410914820678,0.8164154330834323,0.03326622115942644,20
0.4583529631296794,0.011227099114767733,0.19378956158955893,0.01900482599498539,balanced,12,18,158,"{'model__class_weight': 'balanced', 'model__max_depth': 12, 'model__min_samples_split': 18, 'model__n_estimators': 158}",0.6140350877192983,0.5789473684210527,0.7192982456140351,0.6374269005847953,0.05963765512974017,10,0.6265001159738002,0.6107701686649055,0.7234908932258476,0.6535870592881844,0.04984487476142652,9,0.894310795139072,0.888815676963326,0.8660047021399135,0.8830437247474371,0.012255483113179158,15
1.4235539436340332,0.016721374285458186,0.34668437639872235,0.022952438775282226,balanced_subsample,10,17,370,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 10, 'model__min_samples_split': 17, 'model__n_estimators': 370}",0.6140350877192983,0.5614035087719298,0.7017543859649122,0.6257309941520468,0.057891783255038964,14,0.6172435593488226,0.5929824561403508,0.7048133153396311,0.6383464436096015,0.04803147621026018,14,0.8979498379687448,0.8988045719102922,0.8704028895517423,0.8890524331435931,0.013191834587247932,14
0.49628011385599774,0.011762370878030679,0.1701639493306478,0.007119326711674558,balanced,15,13,154,"{'model__class_weight': 'balanced', 'model__max_depth': 15, 'model__min_samples_split': 13, 'model__n_estimators': 154}",0.631578947368421,0.5964912280701754,0.7017543859649122,0.6432748538011696,0.04376207469911043,8,0.640582687951109,0.636872366675202,0.6997295066935632,0.659061520439958,0.028796474905043196,6,0.9042506406299661,0.9101960961237691,0.8773993125192624,0.8972820164243326,0.014267177861317815,7
1.2977765401204426,0.048922722598611926,0.3436761697133382,0.02525097476884041,,3,6,406,"{'model__class_weight': None, 'model__max_depth': 3, 'model__min_samples_split': 6, 'model__n_estimators': 406}",0.6842105263157895,0.6491228070175439,0.7017543859649122,0.6783625730994153,0.021881037349555193,5,0.6532194306905474,0.6054108956602031,0.6576649958228905,0.6387651073912136,0.023654715421162698,13,0.9010829572436441,0.9067318159860838,0.8784032645227963,0.8954060125841746,0.01224193564493351,9
1.4612667560577393,0.015236669296567739,0.2857209841410319,0.0070057561912270595,balanced_subsample,9,8,373,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 9, 'model__min_samples_split': 8, 'model__n_estimators': 373}",0.631578947368421,0.631578947368421,0.7017543859649122,0.6549707602339181,0.033081019002879415,7,0.636209894104631,0.6523007924669973,0.6997295066935632,0.6627467310883972,0.02696322830725265,4,0.9211846325392252,0.910613975472466,0.8771661617425481,0.9029882565847465,0.01876202075533391,3
