model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,ranking_score,search_time_seconds,shap_time_seconds,model_total_time_seconds,full_automl_search_time_seconds
lgb,0.751596877217885,0.7643943582531727,0.8425004520912449,0.9955733106036543,0.002913346375586734,0.9190368813474497,1.6600009985268116e-05,212.302411200013,212.302427800023,46.62497920001624
rf,0.7991483321504613,0.7899809636650835,0.8389224728099408,0.9977486635741883,0.0015160344075155886,0.9183355681920646,1.3299984857439995e-05,1227.4162142999994,1227.4162275999843,46.62497920001624
logreg,0.794889992902768,0.7898519301486634,0.8382856699992249,0.9969365725665175,0.002655346893529815,0.9176111212828713,5.420000525191426e-05,88.82942530000582,88.82947950001108,46.62497920001624
dt,0.7920511000709723,0.7783345799880014,0.8307512464801468,0.996468605854211,0.00505313946613499,0.9136099261671788,1.4599994756281376e-05,81.75267360001453,81.75268820000929,46.62497920001624
