model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,ranking_score
rf,0.6069230769230769,0.603773229362481,0.8344829256541653,0.9907812603056806,0.005713440832673176,0.912632092979923
lgb,0.6915384615384615,0.6804617650166268,0.8469799173391339,0.9591402844229395,0.017002869509606944,0.9030601008810367
logreg,0.5346153846153846,0.5063778072895734,0.7631608187545689,0.9912798786501217,0.004102329734541336,0.8772203487023453
dt,0.5207692307692308,0.5000830430661187,0.7227717877704777,0.9910065628922601,0.021348435843017866,0.8568891753313689
