model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,mean_sparsity,std_sparsity,ranking_score,search_time_seconds,shap_time_seconds,model_total_time_seconds,full_automl_search_time_seconds
dt,0.9385964912280702,0.9384383268099622,0.9603174603174602,0.9943526819101859,0.020819030978313894,0.9999999999975797,6.203851020739814e-13,0.9787469006356715,2.540001878514886e-05,57.82815060002031,57.82817600003909,24.363131600024644
lgb,0.9649122807017544,0.9645092460881936,0.9953703703703705,0.8957697730655992,0.036047229022426,0.6480636386874112,0.06951641758267957,0.8836435381234379,9.600014891475439e-06,199.52988709998317,199.52989669999806,24.363131600024644
rf,0.9736842105263158,0.9734654095556351,0.9970238095238095,0.993366436452558,0.0064881490266568715,0.538412380378185,0.0504473977846188,0.8814566089695905,1.1100026313215494e-05,481.33402850001585,481.33403960004216,24.363131600024644
logreg,0.9649122807017544,0.9647247085304307,0.9966931216931216,0.9799652851219046,0.01273128759312052,0.5274142710581569,0.06576845153971832,0.8751914498915762,0.00017110002227127552,57.63271210005041,57.63288320007268,24.363131600024644
