mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.7260398864746094,0.011948431109962987,0.26124374071757,0.0012360198054553934,balanced_subsample,15,12,171,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 15, 'model__min_samples_split': 12, 'model__n_estimators': 171}",0.7790262172284644,0.7378277153558053,0.7255639097744361,0.7474726141195686,0.022866607876985114,6,0.7750372035301697,0.7387412985858478,0.7193747067653362,0.7443844029604513,0.023071798900544876,6,0.8207219251336899,0.7929812834224599,0.7571236559139785,0.7902756214900428,0.026034277620157146,6
0.5675099690755209,0.019624383790227858,0.2762879530588786,0.015749545775878646,,7,12,187,"{'model__class_weight': None, 'model__max_depth': 7, 'model__min_samples_split': 12, 'model__n_estimators': 187}",0.7528089887640449,0.7116104868913857,0.7593984962406015,0.7412726572986773,0.021146137033341814,8,0.7023537215332355,0.6614465862625847,0.713362598630512,0.692387635475444,0.022335476094174696,17,0.8161096256684492,0.7859625668449198,0.7582661290322581,0.786779440515209,0.023621571888426802,12
0.7670074303944906,0.011812295828069065,0.3357717990875244,0.006562990362393078,,4,9,251,"{'model__class_weight': None, 'model__max_depth': 4, 'model__min_samples_split': 9, 'model__n_estimators': 251}",0.7078651685393258,0.6966292134831461,0.6954887218045113,0.6999943679423278,0.005584938486413719,19,0.5941293165541778,0.6153035836244138,0.5803501697060695,0.5965943566282204,0.014375734255143392,19,0.8083556149732621,0.7792780748663102,0.7561155913978495,0.7812497604124738,0.021372422631507043,16
1.940566857655843,0.04227902983030191,0.37047282854715985,0.004421914386319946,balanced_subsample,2,13,393,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 2, 'model__min_samples_split': 13, 'model__n_estimators': 393}",0.7153558052434457,0.7191011235955056,0.6729323308270677,0.7024630865553396,0.020937303277511154,17,0.7267756621588284,0.7306057997948889,0.6846077592839787,0.713996407079232,0.02083965695499614,13,0.8102941176470588,0.7723930481283422,0.7478494623655915,0.7768455427136641,0.025686601881520044,18
1.5144521395365398,0.03541697350254232,0.4272170861562093,0.005446934534841613,balanced,1,13,413,"{'model__class_weight': 'balanced', 'model__max_depth': 1, 'model__min_samples_split': 13, 'model__n_estimators': 413}",0.7116104868913857,0.6891385767790262,0.6541353383458647,0.6849614673387588,0.023649303831041985,20,0.7232696389161256,0.7020894138941135,0.6666814094058675,0.6973468207387022,0.02334417946233746,16,0.803475935828877,0.7618983957219252,0.7366935483870969,0.7673559599792997,0.027535559722215396,20
0.6239578723907471,0.08988722047988028,0.255598783493042,0.006037105799021757,balanced,12,18,158,"{'model__class_weight': 'balanced', 'model__max_depth': 12, 'model__min_samples_split': 18, 'model__n_estimators': 158}",0.7677902621722846,0.7415730337078652,0.7255639097744361,0.7449757352181953,0.017405937538344487,7,0.7685994358903223,0.7459694520605223,0.7269738014046039,0.7471808964518161,0.017015170872284453,4,0.8203208556149733,0.788101604278075,0.7573252688172043,0.7885825762367508,0.02572008928856436,10
1.9443190097808838,0.02013293570031251,0.525182326634725,0.032794472732606994,balanced_subsample,10,17,370,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 10, 'model__min_samples_split': 17, 'model__n_estimators': 370}",0.7752808988764045,0.7453183520599251,0.7255639097744361,0.7487210535702552,0.020438991079431385,4,0.7752808988764045,0.748598794831987,0.7286839854126335,0.7508545597070083,0.019089865417127778,1,0.8239973262032085,0.7903743315508022,0.7637768817204301,0.7927161798248136,0.02464059892981117,2
0.5998615423838297,0.05245806909046212,0.23869657516479492,0.006853212364574528,balanced,15,13,154,"{'model__class_weight': 'balanced', 'model__max_depth': 15, 'model__min_samples_split': 13, 'model__n_estimators': 154}",0.7715355805243446,0.7303370786516854,0.7218045112781954,0.7412257234847418,0.021713540350307595,9,0.7693576917694486,0.7321680134505566,0.7197176656863107,0.740414456968772,0.021087688673852484,9,0.8219251336898395,0.7900401069518717,0.7574596774193548,0.7898083060203552,0.026318422721157805,7
1.6828072865804036,0.10035182464568505,0.5204088687896729,0.06152646727366226,,3,6,406,"{'model__class_weight': None, 'model__max_depth': 3, 'model__min_samples_split': 6, 'model__n_estimators': 406}",0.704119850187266,0.6966292134831461,0.6992481203007519,0.6999990613237213,0.0031037980897883504,18,0.5856323206489803,0.5941248514570857,0.5754873910439816,0.5850815210500159,0.007618673017053566,20,0.8116310160427808,0.7739973262032085,0.7506720430107526,0.7787667950855806,0.025113873633841252,17
1.7879815101623535,0.014644483899239622,0.4040217399597168,0.002661047690248925,balanced_subsample,9,8,373,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 9, 'model__min_samples_split': 8, 'model__n_estimators': 373}",0.7790262172284644,0.7415730337078652,0.7255639097744361,0.7487210535702552,0.02240350003224356,4,0.7750372035301697,0.740132210263029,0.7206267219386004,0.7452653785772663,0.022507586712978093,5,0.8248663101604278,0.7954545454545455,0.7651209677419354,0.7951472744523028,0.024391901617508774,1
