model,accuracy,f1_weighted,roc_auc,mean_stability,std_stability,ranking_score
lgb,0.751596877217885,0.7643943582531727,0.8425004520912449,0.9956046009093158,0.0031308907330402495,0.9190525265002804
rf,0.7991483321504613,0.7899809636650835,0.8389224728099408,0.9978066152880548,0.0013244791819646963,0.9183645440489978
logreg,0.794889992902768,0.7898519301486634,0.8382856699992249,0.9971391277909666,0.00219935305999056,0.9177123988950957
dt,0.7920511000709723,0.7783345799880014,0.8307512464801468,0.996408866586664,0.005040145403451505,0.9135800565334053
